Or_ID,Prod_Rating,Delivery_Service_Rating
ORD00218,3,3
ORD00219,5,5
ORD00220,3,3
ORD00221,2,4
ORD00222,2,2
ORD00223,1,5
ORD00224,4,
ORD00225,1,4
ORD00226,5,2
ORD00227,1,2
ORD00228,5,5
ORD00229,4,2
ORD00230,4,2
ORD00231,1,5
ORD00232,2,5
ORD00233,5,4
ORD00234,5,3
ORD00235,3,4
ORD00236,2,4
ORD00237,5,1
ORD00238,1,2
ORD00239,2,5
ORD00240,3,4
ORD00241,2,2
ORD00242,4,5
ORD00243,2,5
ORD00244,1,4
ORD00245,2,3
ORD00246,2,3
ORD00247,3,5
ORD00248,4,3
ORD00249,2,4
ORD00250,1,2
ORD00251,5,3
ORD00252,1,2
ORD00253,5,2
ORD00254,2,1
ORD00255,4,4
ORD00256,2,5
ORD00257,3,1
ORD00258,2,3
ORD00259,4,4
ORD00260,5,3
ORD00261,2,3
ORD00262,2,5
ORD00263,5,3
ORD00264,5,1
ORD00265,1,1
ORD00266,5,3
ORD00267,4,5
ORD00268,5,2
ORD00269,2,4
ORD00270,4,3
ORD00271,2,4
ORD00272,2,4
ORD00273,2,5
ORD00274,,1
ORD00275,5,3
ORD00276,5,1
ORD00277,2,5
ORD00278,1,2
ORD00279,3,3
ORD00280,4,4
ORD00281,5,4
ORD00282,3,5
ORD00283,5,3
ORD00284,1,5
ORD00285,3,5
ORD00286,1,2
ORD00287,4,2
ORD00288,3,1
ORD00289,1,5
ORD00290,2,3
ORD00291,2,3
ORD00292,4,3
ORD00293,5,2
ORD00294,2,1
ORD00295,4,4
ORD00296,4,2
ORD00297,5,2
ORD00298,1,3
ORD00299,3,5
ORD00300,1,5
ORD00301,2,
ORD00302,3,5
ORD00303,4,1
ORD00304,4,1
ORD00305,1,2
ORD00306,5,2
ORD00307,1,3
ORD00308,2,5
ORD00309,4,4
ORD00310,5,3
ORD00311,3,2
ORD00312,5,3
ORD00313,1,1
ORD00314,5,1
ORD00315,4,1
ORD00316,3,4
ORD00317,3,3
ORD00318,3,3
ORD00319,1,2
ORD00320,1,3
ORD00321,4,1
ORD00322,4,3
ORD00323,4,3
ORD00324,5,3
ORD00325,1,4
ORD00326,5,3
ORD00327,3,1
ORD00328,2,2
ORD00329,3,4
ORD00330,3,5
ORD00331,3,1
ORD00332,2,2
ORD00333,4,1
ORD00334,2,2
ORD00335,1,5
ORD00336,2,5
ORD00337,4,4
ORD00338,5,1
ORD00339,2,5
ORD00340,,3
ORD00341,2,1
ORD00342,5,4
ORD00343,1,4
ORD00344,5,4
ORD00345,4,5
ORD00346,3,1
ORD00347,5,1
ORD00348,3,3
ORD00349,2,5
ORD00350,3,2
ORD00351,2,3
ORD00352,1,5
ORD00353,1,1
ORD00354,2,5
ORD00355,5,4
ORD00356,2,4
ORD00357,4,2
ORD00358,5,1
ORD00359,3,3
ORD00360,3,3
ORD00361,5,3
ORD00362,5,5
ORD00363,4,3
ORD00364,5,5
ORD00365,,3
ORD00366,3,1
ORD00367,5,2
ORD00368,5,2
ORD00369,5,4
ORD00370,5,3
ORD00371,2,4
ORD00372,5,1
ORD00373,5,5
ORD00374,2,4
ORD00375,3,3
ORD00376,2,2
ORD00377,5,2
ORD00378,3,4
ORD00379,1,2
ORD00380,3,4
ORD00381,4,3
ORD00382,4,3
ORD00383,1,4
ORD00384,4,2
ORD00385,2,5
ORD00386,3,5
ORD00387,4,2
ORD00388,4,5
ORD00389,1,2
ORD00390,4,4
ORD00391,2,1
ORD00392,3,1
ORD00393,1,2
ORD00394,1,4
ORD00395,3,1
ORD00396,3,3
ORD00397,1,3
ORD00398,1,2
ORD00399,2,3
ORD00400,1,3
ORD00401,5,3
ORD00402,5,3
ORD00403,4,1
ORD00404,3,3
ORD00405,1,3
ORD00406,5,2
ORD00407,5,1
ORD00408,2,5
ORD00409,3,4
ORD00410,4,1
ORD00411,2,4
ORD00412,3,2
ORD00413,,3
ORD00414,3,4
ORD00415,5,1
ORD00416,1,4
ORD00417,2,5
ORD00418,5,4
ORD00419,4,2
ORD00420,4,3
ORD00421,3,1
ORD00422,4,4
ORD00423,4,3
ORD00424,2,2
ORD00425,3,4
ORD00426,1,1
ORD00427,2,2
ORD00428,5,2
ORD00429,4,3
ORD00430,5,4
ORD00431,5,3
ORD00432,5,1
ORD00433,5,1
ORD00434,3,3
ORD00435,,4
ORD00436,5,4
ORD00437,4,3
ORD00438,5,4
ORD00439,3,5
ORD00440,4,5
ORD00441,1,
ORD00442,2,3
ORD00443,3,3
ORD00444,2,4
ORD00445,4,4
ORD00446,4,1
ORD00447,3,2
ORD00448,1,1
ORD00449,3,
ORD00450,2,5
ORD00451,1,2
ORD00452,5,3
ORD00453,5,3
ORD00454,2,4
ORD00455,4,1
ORD00456,1,4
ORD00457,3,4
ORD00458,2,4
ORD00459,4,1
ORD00460,4,2
ORD00461,5,5
ORD00462,4,2
ORD00463,4,5
ORD00464,4,1
ORD00465,3,4
ORD00466,5,4
ORD00467,5,5
ORD00468,5,3
ORD00469,2,2
ORD00470,2,4
ORD00471,2,4
ORD00472,4,4
ORD00473,1,2
ORD00474,4,5
ORD00475,3,4
ORD00476,5,2
ORD00477,,1
ORD00478,4,5
ORD00479,4,2
ORD00480,3,
ORD00481,3,3
ORD00482,4,2
ORD00483,1,5
ORD00484,3,4
ORD00485,1,5
ORD00486,3,3
ORD00487,5,3
ORD00488,1,5
ORD00489,3,2
ORD00490,,4
ORD00491,4,5
ORD00492,5,5
ORD00493,2,4
ORD00494,3,2
ORD00495,5,4
ORD00496,1,5
ORD00497,1,
ORD00498,1,2
ORD00499,4,2
ORD00500,2,2
ORD00501,4,5
ORD00502,4,5
ORD00503,2,1
ORD00504,1,3
ORD00505,3,1
ORD00506,3,5
ORD00507,4,1
ORD00508,1,5
ORD00509,4,5
ORD00510,1,
ORD00511,4,4
ORD00512,2,3
ORD00513,5,1
ORD00514,5,5
ORD00515,3,3
ORD00516,3,3
ORD00517,3,1
ORD00518,2,5
ORD00519,1,2
ORD00520,3,5
ORD00521,5,5
ORD00522,1,3
ORD00523,4,4
ORD00524,1,
ORD00525,3,1
ORD00526,5,1
ORD00527,4,2
ORD00528,3,1
ORD00529,5,4
ORD00530,1,2
ORD00531,1,3
ORD00532,4,2
ORD00533,5,4
ORD00534,4,4
ORD00535,1,4
ORD00536,2,5
ORD00537,3,1
ORD00538,1,1
ORD00539,4,1
ORD00540,5,3
ORD00541,5,2
ORD00542,,1
ORD00543,1,4
ORD00544,5,5
ORD00545,4,2
ORD00546,4,3
ORD00547,1,1
ORD00548,3,1
ORD00549,4,4
ORD00550,3,3
ORD00551,1,5
ORD00552,4,4
ORD00553,4,1
ORD00554,5,2
ORD00555,4,2
ORD00556,5,3
ORD00557,5,3
ORD00558,5,4
ORD00559,1,4
ORD00560,1,1
ORD00561,4,4
ORD00562,5,4
ORD00563,1,4
ORD00564,2,4
ORD00565,5,3
ORD00566,3,4
ORD00567,1,2
ORD00568,2,2
ORD00569,3,1
ORD00570,4,2
ORD00571,3,1
ORD00572,2,1
ORD00573,,2
ORD00574,4,5
ORD00575,1,4
ORD00576,3,4
ORD00577,2,4
ORD00578,5,4
ORD00579,4,1
ORD00580,2,2
ORD00581,5,4
ORD00582,1,3
ORD00583,5,
ORD00584,2,3
ORD00585,4,4
ORD00586,1,4
ORD00587,3,1
ORD00588,,2
ORD00589,4,4
ORD00590,4,5
ORD00591,2,5
ORD00592,5,5
ORD00593,4,1
ORD00594,1,
ORD00595,3,3
ORD00596,5,5
ORD00597,2,4
ORD00598,2,4
ORD00599,5,4
ORD00600,5,1
ORD00601,3,5
ORD00602,2,5
ORD00603,1,2
ORD00604,3,5
ORD00605,1,3
ORD00606,3,5
ORD00607,5,4
ORD00608,4,1
ORD00609,4,3
ORD00610,4,5
ORD00611,2,4
ORD00612,1,5
ORD00613,1,2
ORD00614,1,5
ORD00615,5,3
ORD00616,1,4
ORD00617,1,5
ORD00618,1,3
ORD00619,1,5
ORD00620,1,4
ORD00621,1,2
ORD00622,2,1
ORD00623,3,5
ORD00624,2,4
ORD00625,5,5
ORD00626,5,5
ORD00627,1,1
ORD00628,5,4
ORD00629,2,2
ORD00630,5,1
ORD00631,1,4
ORD00632,4,3
ORD00633,5,1
ORD00634,1,2
ORD00635,5,3
ORD00636,2,3
ORD00637,1,3
ORD00638,5,3
ORD00639,1,4
ORD00640,3,1
ORD00641,4,2
ORD00642,3,4
ORD00643,3,4
ORD00644,,1
ORD00645,5,5
ORD00646,3,2
ORD00647,2,2
ORD00648,3,
ORD00649,2,4
ORD00650,5,5
ORD00651,5,5
ORD00652,2,5
ORD00653,4,3
ORD00654,1,1
ORD00655,3,1
ORD00656,3,1
ORD00657,3,3
ORD00658,1,2
ORD00659,3,3
ORD00660,5,5
ORD00661,1,2
ORD00662,1,1
ORD00663,4,1
ORD00664,3,1
ORD00665,3,3
ORD00666,3,5
ORD00667,2,1
ORD00668,2,1
ORD00669,1,4
ORD00670,2,4
ORD00671,3,2
ORD00672,4,
ORD00673,3,2
ORD00674,5,2
ORD00675,,1
ORD00676,4,
ORD00677,1,3
ORD00678,2,3
ORD00679,1,3
ORD00680,4,2
ORD00681,2,1
ORD00682,3,4
ORD00683,2,3
ORD00684,3,1
ORD00685,1,2
ORD00686,2,3
ORD00687,5,3
ORD00688,4,5
ORD00689,4,2
ORD00690,4,1
ORD00691,3,3
ORD00692,1,2
ORD00693,1,
ORD00694,1,2
ORD00695,4,3
ORD00696,3,5
ORD00697,2,3
ORD00698,4,5
ORD00699,1,2
ORD00700,4,5
ORD00701,2,3
ORD00702,5,1
ORD00703,1,5
ORD00704,1,4
ORD00705,2,4
ORD00706,3,3
ORD00707,1,5
ORD00708,3,2
ORD00709,2,
ORD00710,4,1
ORD00711,5,3
ORD00712,3,3
ORD00713,3,1
ORD00714,1,5
ORD00715,3,4
ORD00716,3,4
ORD00717,3,3
ORD00718,1,3
ORD00719,3,4
ORD00720,2,3
ORD00721,5,4
ORD00722,,2
ORD00723,3,4
ORD00724,1,3
ORD00725,2,3
ORD00726,5,5
ORD00727,1,3
ORD00728,5,4
ORD00729,2,3
ORD00730,4,4
ORD00731,1,3
ORD00732,3,4
ORD00733,4,1
ORD00734,2,1
ORD00735,3,1
ORD00736,1,4
ORD00737,3,4
ORD00738,5,2
ORD00739,5,1
ORD00740,1,1
ORD00741,5,2
ORD00742,4,3
ORD00743,1,1
ORD00744,1,2
ORD00745,,2
ORD00746,4,1
ORD00747,1,2
ORD00748,,1
ORD00749,2,5
ORD00750,5,3
ORD00751,5,4
ORD00752,5,4
ORD00753,1,2
ORD00754,,1
ORD00755,5,3
ORD00756,5,2
ORD00757,2,1
ORD00758,3,2
ORD00759,4,
ORD00760,1,4
ORD00761,,3
ORD00762,5,2
ORD00763,5,2
ORD00764,4,4
ORD00765,2,4
ORD00766,1,1
ORD00767,1,3
ORD00768,2,1
ORD00769,1,2
ORD00770,4,4
ORD00771,3,1
ORD00772,2,4
ORD00773,5,3
ORD00774,,1
ORD00775,4,5
ORD00776,3,2
ORD00777,1,4
ORD00778,4,2
ORD00779,2,1
ORD00780,3,5
ORD00781,4,5
ORD00782,4,5
ORD00783,5,4
ORD00784,5,1
ORD00785,3,5
ORD00786,,5
ORD00787,,4
ORD00788,2,3
ORD00789,5,4
ORD00790,1,2
ORD00791,3,3
ORD00792,,3
ORD00793,1,2
ORD00794,5,5
ORD00795,5,4
ORD00796,1,3
ORD00797,2,5
ORD00798,3,1
ORD00799,1,
ORD00800,4,2
ORD00801,1,5
ORD00802,4,5
ORD00803,3,4
ORD00804,5,2
ORD00805,3,3
ORD00806,5,5
ORD00807,2,1
ORD00808,2,1
ORD00809,1,2
ORD00810,,5
ORD00811,2,4
ORD00812,1,2
ORD00813,5,5
ORD00814,4,4
ORD00815,4,4
ORD00816,5,4
ORD00817,4,2
ORD00818,4,1
ORD00819,5,1
ORD00820,5,3
ORD00821,4,2
ORD00822,1,4
ORD00823,4,2
ORD00824,2,2
ORD00825,1,1
ORD00826,1,2
ORD00827,1,4
ORD00828,5,2
ORD00829,2,
ORD00830,3,4
ORD00831,3,4
ORD00832,1,4
ORD00833,5,1
ORD00834,5,5
ORD00835,5,4
ORD00836,2,3
ORD00837,5,5
ORD00838,3,1
ORD00839,1,5
ORD00840,5,1
ORD00841,4,3
ORD00842,3,5
ORD00843,2,4
ORD00844,,3
ORD00845,4,5
ORD00846,5,2
ORD00847,3,5
ORD00848,1,1
ORD00849,1,2
ORD00850,4,3
ORD00851,1,5
ORD00852,4,4
ORD00853,3,5
ORD00854,4,2
ORD00855,2,4
ORD00856,2,2
ORD00857,1,2
ORD00858,4,5
ORD00859,1,3
ORD00860,3,4
ORD00861,3,1
ORD00862,2,2
ORD00863,5,
ORD00864,3,4
ORD00865,2,3
ORD00866,1,1
ORD00867,1,1
ORD00868,2,2
ORD00869,2,3
ORD00870,,5
ORD00871,4,2
ORD00872,,5
ORD00873,5,2
ORD00874,5,4
ORD00875,3,3
ORD00876,2,5
ORD00877,2,2
ORD00878,3,5
ORD00879,3,2
ORD00880,5,3
ORD00881,3,3
ORD00882,3,5
ORD00883,3,1
ORD00884,3,3
ORD00885,4,5
ORD00886,2,1
ORD00887,1,2
ORD00888,2,2
ORD00889,,2
ORD00890,1,3
ORD00891,4,1
ORD00892,1,1
ORD00893,4,1
ORD00894,2,4
ORD00895,5,5
ORD00896,4,3
ORD00897,3,2
ORD00898,3,2
ORD00899,5,1
ORD00900,2,3
ORD00901,2,3
ORD00902,5,1
ORD00903,2,5
ORD00904,3,1
ORD00905,4,5
ORD00906,4,5
ORD00907,4,3
ORD00908,4,3
ORD00909,1,5
ORD00910,5,3
ORD00911,5,5
ORD00912,3,1
ORD00913,3,1
ORD00914,4,1
ORD00915,5,5
ORD00916,5,1
ORD00917,1,3
ORD00918,5,1
ORD00919,3,1
ORD00920,2,3
ORD00921,1,3
ORD00922,4,5
ORD00923,5,3
ORD00924,4,1
ORD00925,5,3
ORD00926,5,1
ORD00927,4,3
ORD00928,5,4
ORD00929,5,5
ORD00930,5,5
ORD00931,1,1
ORD00932,3,1
ORD00933,3,2
ORD00934,4,1
ORD00935,2,4
ORD00936,1,1
ORD00937,4,2
ORD00938,2,4
ORD00939,4,4
ORD00940,5,1
ORD00941,3,1
ORD00942,,5
ORD00943,1,3
ORD00944,1,5
ORD00945,5,1
ORD00946,4,2
ORD00947,2,4
ORD00948,1,5
ORD00949,1,5
ORD00950,1,5
ORD00951,5,2
ORD00952,4,2
ORD00953,1,1
ORD00954,4,
ORD00955,5,2
ORD00956,4,4
ORD00957,2,2
ORD00958,2,3
ORD00959,1,4
ORD00960,5,1
ORD00961,3,4
ORD00962,2,3
ORD00963,5,5
ORD00964,3,2
ORD00965,5,3
ORD00966,2,2
ORD00967,4,4
ORD00968,5,2
ORD00969,1,2
ORD00970,3,4
ORD00971,4,4
ORD00972,2,4
ORD00973,1,1
ORD00974,3,5
ORD00975,3,4
ORD00976,2,4
ORD00977,3,4
ORD00978,4,4
ORD00979,3,2
ORD00980,5,4
ORD00981,1,4
ORD00982,3,4
ORD00983,5,1
ORD00984,2,1
ORD00985,2,4
ORD00986,1,2
ORD00987,2,2
ORD00988,1,2
ORD00989,4,5
ORD00990,4,3
ORD00991,4,5
ORD00992,3,2
ORD00993,5,4
ORD00994,3,1
ORD00995,5,5
ORD00996,1,2
ORD00997,2,5
ORD00998,2,5
ORD00999,2,2
ORD01000,3,4
ORD01001,5,4
ORD01002,5,1
ORD01003,,5
ORD01004,,5
ORD01005,4,5
ORD01006,4,5
ORD01007,2,2
ORD01008,5,3
ORD01009,2,4
ORD01010,3,1
ORD01011,5,1
ORD01012,5,2
ORD01013,,5
ORD01014,5,5
ORD01015,1,2
ORD01016,5,1
ORD01017,2,5
ORD01018,1,3
ORD01019,5,1
ORD01020,1,1
ORD01021,4,1
ORD01022,5,4
ORD01023,1,4
ORD01024,4,2
ORD01025,1,3
ORD01026,,3
ORD01027,2,2
ORD01028,3,1
ORD01029,,2
ORD01030,4,4
ORD01031,4,2
ORD01032,3,3
ORD01033,5,1
ORD01034,5,5
ORD01035,3,
ORD01036,3,1
ORD01037,1,3
ORD01038,1,1
ORD01039,2,2
ORD01040,1,1
ORD01041,4,4
ORD01042,3,3
ORD01043,5,
ORD01044,,1
ORD01045,5,1
ORD01046,4,5
ORD01047,3,5
ORD01048,3,2
ORD01049,5,3
ORD01050,4,5
ORD01051,3,3
ORD01052,4,1
ORD01053,3,1
ORD01054,1,2
ORD01055,5,2
ORD01056,4,1
ORD01057,1,3
ORD01058,3,3
ORD01059,2,3
ORD01060,3,5
ORD01061,2,4
ORD01062,2,2
ORD01063,2,3
ORD01064,1,4
ORD01065,5,1
ORD01066,3,1
ORD01067,4,1
ORD01068,5,5
ORD01069,1,3
ORD01070,2,2
ORD01071,5,5
ORD01072,5,4
ORD01073,3,5
ORD01074,5,2
ORD01075,3,5
ORD01076,5,2
ORD01077,4,5
ORD01078,4,3
ORD01079,5,
ORD01080,5,4
ORD01081,4,1
ORD01082,2,3
ORD01083,2,3
ORD01084,5,1
ORD01085,3,1
ORD01086,1,4
ORD01087,2,3
ORD01088,2,5
ORD01089,4,2
ORD01090,2,2
ORD01091,1,4
ORD01092,2,5
ORD01093,1,4
ORD01094,1,2
ORD01095,5,4
ORD01096,1,2
ORD01097,3,5
ORD01098,4,2
ORD01099,5,2
ORD01100,1,5
ORD01101,1,3
ORD01102,1,5
ORD01103,2,5
ORD01104,2,3
ORD01105,3,5
ORD01106,3,1
ORD01107,2,2
ORD01108,3,3
ORD01109,1,
ORD01110,2,2
ORD01111,3,3
ORD01112,2,4
ORD01113,1,5
ORD01114,2,2
ORD01115,1,4
ORD01116,4,4
ORD01117,3,1
ORD01118,1,4
ORD01119,4,1
ORD01120,,2
ORD01121,4,3
ORD01122,1,3
ORD01123,4,5
ORD01124,5,2
ORD01125,3,2
ORD01126,1,3
ORD01127,3,5
ORD01128,5,2
ORD01129,1,4
ORD01130,1,1
ORD01131,4,2
ORD01132,1,4
ORD01133,2,4
ORD01134,5,1
ORD01135,1,5
ORD01136,5,1
ORD01137,1,3
ORD01138,4,5
ORD01139,2,4
ORD01140,3,2
ORD01141,2,4
ORD01142,2,2
ORD01143,4,2
ORD01144,5,4
ORD01145,1,4
ORD01146,2,4
ORD01147,,3
ORD01148,4,2
ORD01149,1,2
ORD01150,3,5
ORD01151,4,2
ORD01152,4,4
ORD01153,3,2
ORD01154,4,2
ORD01155,1,1
ORD01156,1,1
ORD01157,5,
ORD01158,5,3
ORD01159,4,
ORD01160,2,4
ORD01161,3,5
ORD01162,5,5
ORD01163,5,1
ORD01164,3,5
ORD01165,1,3
ORD01166,5,2
ORD01167,4,5
ORD01168,1,2
ORD01169,2,5
ORD01170,4,1
ORD01171,2,3
ORD01172,3,4
ORD01173,5,1
ORD01174,3,4
ORD01175,4,1
ORD01176,3,4
ORD01177,2,5
ORD01178,3,2
ORD01179,1,3
ORD01180,5,2
ORD01181,1,1
ORD01182,5,1
ORD01183,5,2
ORD01184,1,2
ORD01185,4,3
ORD01186,3,1
ORD01187,5,
ORD01188,4,5
ORD01189,4,5
ORD01190,5,3
ORD01191,4,2
ORD01192,1,4
ORD01193,5,2
ORD01194,4,5
ORD01195,3,3
ORD01196,4,4
ORD01197,3,2
ORD01198,1,3
ORD01199,1,3
ORD01200,5,5
ORD01201,4,3
ORD01202,2,3
ORD01203,3,1
ORD01204,3,2
ORD01205,2,4
ORD01206,2,4
ORD01207,5,4
ORD01208,5,5
ORD01209,1,2
ORD01210,3,3
ORD01211,5,3
ORD01212,2,2
ORD01213,1,1
ORD01214,2,2
ORD01215,3,5
ORD01216,4,4
ORD01217,5,1
ORD01218,2,1
ORD01219,1,3
ORD01220,2,2
ORD01221,5,4
ORD01222,4,1
ORD01223,3,3
ORD01224,3,1
ORD01225,,3
ORD01226,1,5
ORD01227,4,3
ORD01228,2,5
ORD01229,5,3
ORD01230,3,1
ORD01231,2,5
ORD01232,4,5
ORD01233,5,2
ORD01234,1,
ORD01235,5,5
ORD01236,3,
ORD01237,5,5
ORD01238,5,1
ORD01239,5,1
ORD01240,1,5
ORD01241,5,4
ORD01242,5,3
ORD01243,2,2
ORD01244,4,4
ORD01245,3,
ORD01246,4,5
ORD01247,4,5
ORD01248,4,5
ORD01249,5,5
ORD01250,1,3
ORD01251,5,1
ORD01252,3,3
ORD01253,2,3
ORD01254,4,2
ORD01255,4,4
ORD01256,3,3
ORD01257,5,3
ORD01258,3,4
ORD01259,3,4
ORD01260,4,3
ORD01261,2,1
ORD01262,2,2
ORD01263,1,4
ORD01264,3,5
ORD01265,5,3
ORD01266,2,1
ORD01267,2,5
ORD01268,2,2
ORD01269,2,3
ORD01270,1,4
ORD01271,5,
ORD01272,5,5
ORD01273,5,4
ORD01274,2,5
ORD01275,5,2
ORD01276,3,2
ORD01277,1,1
ORD01278,3,4
ORD01279,1,4
ORD01280,3,1
ORD01281,3,3
ORD01282,4,5
ORD01283,1,3
ORD01284,1,3
ORD01285,5,5
ORD01286,4,5
ORD01287,1,2
ORD01288,3,5
ORD01289,3,2
ORD01290,3,4
ORD01291,4,1
ORD01292,4,2
ORD01293,3,4
ORD01294,1,3
ORD01295,4,5
ORD01296,1,1
ORD01297,1,2
ORD01298,1,5
ORD01299,3,5
ORD01300,2,1
ORD01301,4,2
ORD01302,3,2
ORD01303,1,1
ORD01304,4,1
ORD01305,2,4
ORD01306,3,3
ORD01307,5,2
ORD01308,4,4
ORD01309,4,2
ORD01310,,4
ORD01311,2,5
ORD01312,2,5
ORD01313,4,2
ORD01314,1,4
ORD01315,5,4
ORD01316,2,4
ORD01317,4,2
ORD01318,1,2
ORD01319,1,5
ORD01320,5,2
ORD01321,3,3
ORD01322,5,
ORD01323,1,5
ORD01324,1,2
ORD01325,3,1
ORD01326,4,1
ORD01327,,2
ORD01328,5,2
ORD01329,4,2
ORD01330,3,5
ORD01331,5,
ORD01332,2,3
ORD01333,2,3
ORD01334,3,2
ORD01335,1,1
ORD01336,5,2
ORD01337,3,4
ORD01338,2,2
ORD01339,1,2
ORD01340,4,2
ORD01341,3,4
ORD01342,5,4
ORD01343,4,4
ORD01344,5,4
ORD01345,3,3
ORD01346,2,2
ORD01347,2,5
ORD01348,5,1
ORD01349,5,4
ORD01350,1,3
ORD01351,1,3
ORD01352,5,2
ORD01353,2,1
ORD01354,1,4
ORD01355,1,2
ORD01356,4,2
ORD01357,3,4
ORD01358,1,2
ORD01359,4,2
ORD01360,2,1
ORD01361,2,2
ORD01362,4,2
ORD01363,2,1
ORD01364,2,5
ORD01365,1,3
ORD01366,1,2
ORD01367,2,4
ORD01368,3,2
ORD01369,1,2
ORD01370,4,5
ORD01371,1,5
ORD01372,2,4
ORD01373,4,3
ORD01374,3,4
ORD01375,5,
ORD01376,4,1
ORD01377,5,2
ORD01378,5,1
ORD01379,1,3
ORD01380,5,1
ORD01381,3,1
ORD01382,4,1
ORD01383,1,1
ORD01384,1,5
ORD01385,5,5
ORD01386,3,4
ORD01387,2,4
ORD01388,1,1
ORD01389,4,
ORD01390,5,5
ORD01391,2,5
ORD01392,3,3
ORD01393,2,2
ORD01394,3,3
ORD01395,2,4
ORD01396,2,5
ORD01397,4,1
ORD01398,2,4
ORD01399,5,3
ORD01400,5,4
ORD01401,1,1
ORD01402,4,5
ORD01403,5,3
