P_ID,Product_Name,Category,Price,Features,Affected_Price,Del_Charge,Total_Price,Final_Price
PROD00046,Spaghetti,Recipe Ideas,1115,Free Delivery,892,31,1146,1115
PROD00047,Garbage Bags,Household Essentials,995,Free Delivery,796,39,1034,995
PROD00048,Air Freshener,Household Essentials,1102,Free Delivery,881.6,41,1143,1102
PROD00049,Spices,Groceries & Kitchen Essentials,201,"Free Delivery, 20% on product",160.8,34,235,235
PROD00050,Garbage Bags,Household Essentials,1073,Free Delivery,858.4,40,1113,1073
PROD00051,Basmati Rice,Groceries & Kitchen Essentials,894,"Free Delivery, 20% on product",715.2,39,933,933
PROD00052,Glass Cleaner,Household Essentials,910,Free Delivery,728,46,956,910
PROD00053,Energy Bar,Snacks & Drinks,791,Free Delivery,632.8,39,830,791
PROD00054,Cooking Oil,Groceries & Kitchen Essentials,1232,"Free Delivery, 20% on product",985.6,40,1272,1272
PROD00055,Floor Cleaner,Household Essentials,969,Free Delivery,775.2,38,1007,969
PROD00056,Floor Cleaner,Household Essentials,168,Free Delivery,134.4,37,205,168
PROD00057,LED Light Bulb,Electronics,1911,Free Delivery,1528.8,49,1960,1911
PROD00058,Sponges,Household Essentials,1635,Free Delivery,1308,37,1672,1635
PROD00059,Salt,Groceries & Kitchen Essentials,283,"Free Delivery, 20% on product",226.4,43,326,326
PROD00060,USB Cable,Electronics,296,Free Delivery,236.8,35,331,296
PROD00061,Smart Plug,Electronics,1597,Free Delivery,1277.6,46,1643,1597
PROD00062,Cooking Oil,Groceries & Kitchen Essentials,1624,"Free Delivery, 20% on product",1299.2,39,1663,1663
PROD00063,Instant Noodles,Groceries & Kitchen Essentials,85,20% on product,68,49,134,134
PROD00064,Scrub Pads,Household Essentials,1577,Free Delivery,1261.6,40,1617,1577
PROD00065,Memory Card,Electronics,1514,Free Delivery,1211.2,49,1563,1514
PROD00066,Pulses,Groceries & Kitchen Essentials,471,"Free Delivery, 20% on product",376.8,36,507,507
PROD00067,Basmati Rice,Groceries & Kitchen Essentials,240,"Free Delivery, 20% on product",192,35,275,275
PROD00068,Chocolate Cookies,Snacks & Drinks,1749,Free Delivery,1399.2,46,1795,1749
PROD00069,Salt,Groceries & Kitchen Essentials,1940,"Free Delivery, 20% on product",1552,36,1976,1976
PROD00070,Basmati Rice,Groceries & Kitchen Essentials,1876,"Free Delivery, 20% on product",1500.8,50,1926,1926
PROD00071,Scrub Pads,Household Essentials,1206,Free Delivery,964.8,46,1252,1206
PROD00072,LED Light Bulb,Electronics,874,Free Delivery,699.2,40,914,874
PROD00073,Fruit Juice,Snacks & Drinks,1484,Free Delivery,1187.2,50,1534,1484
PROD00074,Yeast,Recipe Ideas,901,Free Delivery,720.8,33,934,901
PROD00075,Deodorant,Beauty & Personal Care,663,Free Delivery,530.4,36,699,663
PROD00076,Sunscreen,Beauty & Personal Care,184,Free Delivery,147.2,36,220,184
PROD00077,Spices,Groceries & Kitchen Essentials,1081,"Free Delivery, 20% on product",864.8,44,1125,1125
PROD00078,Cake Mix,Recipe Ideas,258,Free Delivery,206.4,41,299,258
PROD00079,Dishwashing Liquid,Household Essentials,112,Free Delivery,89.6,34,146,112
PROD00080,Phone Charger,Electronics,1959,Free Delivery,1567.2,36,1995,1959
PROD00081,Salt,Groceries & Kitchen Essentials,1344,"Free Delivery, 20% on product",1075.2,41,1385,1385
PROD00082,Chocolate Cookies,Snacks & Drinks,590,Free Delivery,472,41,631,590
PROD00083,Dishwashing Liquid,Household Essentials,1044,Free Delivery,835.2,50,1094,1044
PROD00084,Popcorn,Snacks & Drinks,1942,Free Delivery,1553.6,41,1983,1942
PROD00085,Cake Mix,Recipe Ideas,805,Free Delivery,644,47,852,805
PROD00086,Face Cream,Beauty & Personal Care,1459,Free Delivery,1167.2,41,1500,1459
PROD00087,Laundry Detergent,Household Essentials,1734,Free Delivery,1387.2,37,1771,1734
PROD00088,Packaged Snacks,Snacks & Drinks,798,Free Delivery,638.4,31,829,798
PROD00089,Face Wash,Beauty & Personal Care,963,Free Delivery,770.4,37,1000,963
PROD00090,Phone Charger,Electronics,851,Free Delivery,680.8,39,890,851
PROD00091,Sponges,Household Essentials,1533,Free Delivery,1226.4,47,1580,1533
PROD00092,Yeast,Recipe Ideas,797,Free Delivery,637.6,38,835,797
PROD00093,Toilet Cleaner,Household Essentials,1113,Free Delivery,890.4,32,1145,1113
PROD00094,Tissue Paper,Household Essentials,1113,Free Delivery,890.4,42,1155,1113
PROD00095,Basmati Rice,Groceries & Kitchen Essentials,1568,"Free Delivery, 20% on product",1254.4,30,1598,1598
PROD00096,Garbage Bags,Household Essentials,686,Free Delivery,548.8,33,719,686
PROD00097,Trail Mix,Snacks & Drinks,1372,Free Delivery,1097.6,37,1409,1372
PROD00098,USB Cable,Electronics,1343,Free Delivery,1074.4,37,1380,1343
PROD00099,Cereal Bars,Snacks & Drinks,757,Free Delivery,605.6,36,793,757
PROD00100,Cocoa Powder,Recipe Ideas,334,Free Delivery,267.2,34,368,334
PROD00101,Tea,Groceries & Kitchen Essentials,1635,"Free Delivery, 20% on product",1308,43,1678,1678
PROD00102,Lip Balm,Beauty & Personal Care,202,Free Delivery,161.6,32,234,202
PROD00103,Flavored Milk,Snacks & Drinks,1338,Free Delivery,1070.4,37,1375,1338
PROD00104,Conditioner,Beauty & Personal Care,652,Free Delivery,521.6,40,692,652
PROD00105,Cocoa Powder,Recipe Ideas,567,Free Delivery,453.6,41,608,567
PROD00106,Pizza Base,Recipe Ideas,308,Free Delivery,246.4,50,358,308
PROD00107,Portable Hard Drive,Electronics,1949,Free Delivery,1559.2,37,1986,1949
PROD00108,Pasta Sauce,Recipe Ideas,685,Free Delivery,548,32,717,685
PROD00109,Floor Cleaner,Household Essentials,322,Free Delivery,257.6,45,367,322
PROD00110,Air Freshener,Household Essentials,202,Free Delivery,161.6,40,242,202
PROD00111,Bluetooth Speaker,Electronics,391,Free Delivery,312.8,37,428,391
PROD00112,Tea,Groceries & Kitchen Essentials,1500,"Free Delivery, 20% on product",1200,37,1537,1537
PROD00113,Power Bank,Electronics,1676,Free Delivery,1340.8,49,1725,1676
PROD00114,Hair Oil,Beauty & Personal Care,966,Free Delivery,772.8,47,1013,966
PROD00115,Garbage Bags,Household Essentials,385,Free Delivery,308,37,422,385
PROD00116,Packaged Snacks,Snacks & Drinks,103,Free Delivery,82.4,48,151,103
PROD00117,Smart Plug,Electronics,1336,Free Delivery,1068.8,34,1370,1336
PROD00118,Deodorant,Beauty & Personal Care,1718,Free Delivery,1374.4,32,1750,1718
PROD00119,Soft Drink,Snacks & Drinks,1789,Free Delivery,1431.2,30,1819,1789
PROD00120,Cereal Bars,Snacks & Drinks,1746,Free Delivery,1396.8,50,1796,1746
PROD00121,Dishwashing Liquid,Household Essentials,1852,Free Delivery,1481.6,35,1887,1852
PROD00122,Lip Balm,Beauty & Personal Care,289,Free Delivery,231.2,38,327,289
PROD00123,Wheat Flour,Groceries & Kitchen Essentials,1152,"Free Delivery, 20% on product",921.6,36,1188,1188
PROD00124,Spices,Groceries & Kitchen Essentials,1806,"Free Delivery, 20% on product",1444.8,39,1845,1845
PROD00125,Tissue Paper,Household Essentials,1177,Free Delivery,941.6,48,1225,1177
PROD00126,Smartwatch,Electronics,949,Free Delivery,759.2,46,995,949
PROD00127,Coffee,Groceries & Kitchen Essentials,1113,"Free Delivery, 20% on product",890.4,47,1160,1160
PROD00128,Cereal Bars,Snacks & Drinks,1363,Free Delivery,1090.4,44,1407,1363
PROD00129,Portable Hard Drive,Electronics,1410,Free Delivery,1128,50,1460,1410
PROD00130,Smart Plug,Electronics,298,Free Delivery,238.4,38,336,298
PROD00131,Bluetooth Speaker,Electronics,55,,44,41,96,96
PROD00132,Instant Noodles,Groceries & Kitchen Essentials,1268,"Free Delivery, 20% on product",1014.4,39,1307,1307
PROD00133,Smartwatch,Electronics,936,Free Delivery,748.8,47,983,936
PROD00134,Smartwatch,Electronics,1768,Free Delivery,1414.4,50,1818,1768
PROD00135,Scrub Pads,Household Essentials,318,Free Delivery,254.4,34,352,318
PROD00136,Smartwatch,Electronics,1331,Free Delivery,1064.8,42,1373,1331
PROD00137,Soft Drink,Snacks & Drinks,1135,Free Delivery,908,47,1182,1135
PROD00138,USB Cable,Electronics,283,Free Delivery,226.4,42,325,283
PROD00139,Laundry Detergent,Household Essentials,374,Free Delivery,299.2,43,417,374
PROD00140,Memory Card,Electronics,1285,Free Delivery,1028,49,1334,1285
PROD00141,Body Lotion,Beauty & Personal Care,420,Free Delivery,336,36,456,420
PROD00142,Soft Drink,Snacks & Drinks,204,Free Delivery,163.2,36,240,204
PROD00143,Potato Chips,Snacks & Drinks,1950,Free Delivery,1560,40,1990,1950
PROD00144,Basmati Rice,Groceries & Kitchen Essentials,1105,"Free Delivery, 20% on product",884,33,1138,1138
PROD00145,Smart Plug,Electronics,832,Free Delivery,665.6,30,862,832
PROD00146,Laundry Detergent,Household Essentials,229,Free Delivery,183.2,45,274,229
PROD00147,Bluetooth Speaker,Electronics,1469,Free Delivery,1175.2,38,1507,1469
PROD00148,Air Freshener,Household Essentials,1410,Free Delivery,1128,36,1446,1410
PROD00149,Wheat Flour,Groceries & Kitchen Essentials,1719,"Free Delivery, 20% on product",1375.2,47,1766,1766
PROD00150,Laundry Detergent,Household Essentials,78,,62.4,36,114,114
PROD00151,Conditioner,Beauty & Personal Care,1204,Free Delivery,963.2,43,1247,1204
PROD00152,Flavored Milk,Snacks & Drinks,898,Free Delivery,718.4,46,944,898
PROD00153,Smart Plug,Electronics,206,Free Delivery,164.8,31,237,206
PROD00154,Sunscreen,Beauty & Personal Care,1301,Free Delivery,1040.8,46,1347,1301
PROD00155,Glass Cleaner,Household Essentials,1852,Free Delivery,1481.6,47,1899,1852
PROD00156,Power Bank,Electronics,1382,Free Delivery,1105.6,31,1413,1382
PROD00157,Sugar,Groceries & Kitchen Essentials,1147,"Free Delivery, 20% on product",917.6,49,1196,1196
PROD00158,Dishwashing Liquid,Household Essentials,847,Free Delivery,677.6,46,893,847
PROD00159,Toilet Cleaner,Household Essentials,1572,Free Delivery,1257.6,39,1611,1572
PROD00160,Dishwashing Liquid,Household Essentials,1128,Free Delivery,902.4,50,1178,1128
PROD00161,Air Freshener,Household Essentials,1253,Free Delivery,1002.4,42,1295,1253
PROD00162,Tissue Paper,Household Essentials,1104,Free Delivery,883.2,42,1146,1104
PROD00163,Phone Charger,Electronics,332,Free Delivery,265.6,36,368,332
PROD00164,Pulses,Groceries & Kitchen Essentials,280,"Free Delivery, 20% on product",224,32,312,312
PROD00165,Basmati Rice,Groceries & Kitchen Essentials,942,"Free Delivery, 20% on product",753.6,31,973,973
PROD00166,Cooking Oil,Groceries & Kitchen Essentials,1169,"Free Delivery, 20% on product",935.2,39,1208,1208
PROD00167,Glass Cleaner,Household Essentials,293,Free Delivery,234.4,37,330,293
PROD00168,Scrub Pads,Household Essentials,373,Free Delivery,298.4,35,408,373
PROD00169,Chocolate Cookies,Snacks & Drinks,538,Free Delivery,430.4,46,584,538
PROD00170,Bluetooth Speaker,Electronics,581,Free Delivery,464.8,46,627,581
PROD00171,Instant Noodles,Groceries & Kitchen Essentials,241,"Free Delivery, 20% on product",192.8,32,273,273
PROD00172,Face Wash,Beauty & Personal Care,1770,Free Delivery,1416,37,1807,1770
PROD00173,Pulses,Groceries & Kitchen Essentials,726,"Free Delivery, 20% on product",580.8,36,762,762
PROD00174,Smartwatch,Electronics,1088,Free Delivery,870.4,45,1133,1088
PROD00175,Cocoa Powder,Recipe Ideas,1372,Free Delivery,1097.6,37,1409,1372
PROD00176,Cake Mix,Recipe Ideas,254,Free Delivery,203.2,42,296,254
PROD00177,Soft Drink,Snacks & Drinks,227,Free Delivery,181.6,50,277,227
PROD00178,Dishwashing Liquid,Household Essentials,1522,Free Delivery,1217.6,42,1564,1522
PROD00179,Conditioner,Beauty & Personal Care,1549,Free Delivery,1239.2,33,1582,1549
PROD00180,Tea,Groceries & Kitchen Essentials,1443,"Free Delivery, 20% on product",1154.4,41,1484,1484
PROD00181,Phone Charger,Electronics,1296,Free Delivery,1036.8,50,1346,1296
PROD00182,Sponges,Household Essentials,1117,Free Delivery,893.6,48,1165,1117
PROD00183,Pulses,Groceries & Kitchen Essentials,957,"Free Delivery, 20% on product",765.6,35,992,992
PROD00184,Garbage Bags,Household Essentials,391,Free Delivery,312.8,31,422,391
PROD00185,Hair Oil,Beauty & Personal Care,112,Free Delivery,89.6,46,158,112
PROD00186,Spaghetti,Recipe Ideas,1358,Free Delivery,1086.4,47,1405,1358
PROD00187,Sunscreen,Beauty & Personal Care,219,Free Delivery,175.2,38,257,219
PROD00188,Cooking Oil,Groceries & Kitchen Essentials,1897,"Free Delivery, 20% on product",1517.6,34,1931,1931
PROD00189,Chocolate Cookies,Snacks & Drinks,907,Free Delivery,725.6,39,946,907
PROD00190,Pulses,Groceries & Kitchen Essentials,1176,"Free Delivery, 20% on product",940.8,42,1218,1218
PROD00191,Lip Balm,Beauty & Personal Care,1763,Free Delivery,1410.4,34,1797,1763
PROD00192,Smart Plug,Electronics,1956,Free Delivery,1564.8,50,2006,1956
PROD00193,Smart Plug,Electronics,1862,Free Delivery,1489.6,50,1912,1862
PROD00194,Popcorn,Snacks & Drinks,1253,Free Delivery,1002.4,50,1303,1253
PROD00195,Wireless Earphones,Electronics,441,Free Delivery,352.8,30,471,441
PROD00196,Air Freshener,Household Essentials,1146,Free Delivery,916.8,43,1189,1146
PROD00197,Coffee,Groceries & Kitchen Essentials,683,"Free Delivery, 20% on product",546.4,30,713,713
PROD00198,Hand Soap,Beauty & Personal Care,886,Free Delivery,708.8,43,929,886
PROD00199,Smartwatch,Electronics,1244,Free Delivery,995.2,41,1285,1244
PROD00200,Phone Charger,Electronics,175,Free Delivery,140,48,223,175
PROD00201,Packaged Snacks,Snacks & Drinks,779,Free Delivery,623.2,33,812,779
PROD00202,Popcorn,Snacks & Drinks,144,Free Delivery,115.2,31,175,144
PROD00203,Sponges,Household Essentials,253,Free Delivery,202.4,36,289,253
PROD00204,Pizza Base,Recipe Ideas,1240,Free Delivery,992,50,1290,1240
PROD00205,Tissue Paper,Household Essentials,1453,Free Delivery,1162.4,35,1488,1453
PROD00206,Portable Hard Drive,Electronics,1294,Free Delivery,1035.2,42,1336,1294
PROD00207,Lip Balm,Beauty & Personal Care,1496,Free Delivery,1196.8,43,1539,1496
PROD00208,Laundry Detergent,Household Essentials,528,Free Delivery,422.4,50,578,528
PROD00209,Tissue Paper,Household Essentials,1848,Free Delivery,1478.4,48,1896,1848
PROD00210,LED Light Bulb,Electronics,1481,Free Delivery,1184.8,47,1528,1481
PROD00211,Popcorn,Snacks & Drinks,1690,Free Delivery,1352,33,1723,1690
PROD00212,Smart Plug,Electronics,963,Free Delivery,770.4,35,998,963
PROD00213,Pizza Base,Recipe Ideas,1124,Free Delivery,899.2,30,1154,1124
PROD00214,Smartwatch,Electronics,1050,Free Delivery,840,37,1087,1050
PROD00215,Sugar,Groceries & Kitchen Essentials,127,"Free Delivery, 20% on product",101.6,36,163,163
PROD00216,Floor Cleaner,Household Essentials,1318,Free Delivery,1054.4,33,1351,1318
PROD00217,Potato Chips,Snacks & Drinks,1736,Free Delivery,1388.8,45,1781,1736
PROD00218,LED Light Bulb,Electronics,546,Free Delivery,436.8,32,578,546
PROD00219,Dishwashing Liquid,Household Essentials,1024,Free Delivery,819.2,32,1056,1024
PROD00220,Popcorn,Snacks & Drinks,493,Free Delivery,394.4,38,531,493
PROD00221,Spices,Groceries & Kitchen Essentials,1862,"Free Delivery, 20% on product",1489.6,40,1902,1902
PROD00222,Sponges,Household Essentials,989,Free Delivery,791.2,37,1026,989
PROD00223,Tea,Groceries & Kitchen Essentials,1887,"Free Delivery, 20% on product",1509.6,48,1935,1935
PROD00224,Face Wash,Beauty & Personal Care,1089,Free Delivery,871.2,38,1127,1089
PROD00225,Lip Balm,Beauty & Personal Care,1107,Free Delivery,885.6,31,1138,1107
PROD00226,Bluetooth Speaker,Electronics,935,Free Delivery,748,34,969,935
PROD00227,Olive Oil,Recipe Ideas,814,Free Delivery,651.2,48,862,814
PROD00228,Flavored Milk,Snacks & Drinks,1453,Free Delivery,1162.4,38,1491,1453
PROD00229,Trail Mix,Snacks & Drinks,1248,Free Delivery,998.4,38,1286,1248
PROD00230,Wireless Earphones,Electronics,1072,Free Delivery,857.6,35,1107,1072
PROD00231,Power Bank,Electronics,1725,Free Delivery,1380,30,1755,1725
PROD00232,Fruit Juice,Snacks & Drinks,282,Free Delivery,225.6,32,314,282
PROD00233,Deodorant,Beauty & Personal Care,1180,Free Delivery,944,50,1230,1180
PROD00234,Face Wash,Beauty & Personal Care,270,Free Delivery,216,33,303,270
PROD00235,Popcorn,Snacks & Drinks,1487,Free Delivery,1189.6,34,1521,1487
PROD00236,Basmati Rice,Groceries & Kitchen Essentials,529,"Free Delivery, 20% on product",423.2,49,578,578
PROD00237,Air Freshener,Household Essentials,1371,Free Delivery,1096.8,41,1412,1371
PROD00238,Pulses,Groceries & Kitchen Essentials,279,"Free Delivery, 20% on product",223.2,50,329,329
PROD00239,Dishwashing Liquid,Household Essentials,1730,Free Delivery,1384,50,1780,1730
PROD00240,Energy Bar,Snacks & Drinks,1588,Free Delivery,1270.4,34,1622,1588
PROD00241,Face Cream,Beauty & Personal Care,1003,Free Delivery,802.4,34,1037,1003
PROD00242,Smart Plug,Electronics,692,Free Delivery,553.6,47,739,692
PROD00243,Energy Bar,Snacks & Drinks,1213,Free Delivery,970.4,30,1243,1213
PROD00244,Scrub Pads,Household Essentials,1850,Free Delivery,1480,46,1896,1850
PROD00245,Smart Plug,Electronics,941,Free Delivery,752.8,41,982,941
PROD00246,Fruit Juice,Snacks & Drinks,1637,Free Delivery,1309.6,34,1671,1637
PROD00247,Memory Card,Electronics,1145,Free Delivery,916,45,1190,1145
PROD00248,Soft Drink,Snacks & Drinks,458,Free Delivery,366.4,36,494,458
PROD00249,Memory Card,Electronics,638,Free Delivery,510.4,39,677,638
PROD00250,Energy Bar,Snacks & Drinks,1924,Free Delivery,1539.2,33,1957,1924
PROD00251,Spices,Groceries & Kitchen Essentials,784,"Free Delivery, 20% on product",627.2,50,834,834
PROD00252,Hair Oil,Beauty & Personal Care,578,Free Delivery,462.4,37,615,578
PROD00253,Toilet Cleaner,Household Essentials,844,Free Delivery,675.2,37,881,844
PROD00254,Sponges,Household Essentials,1993,Free Delivery,1594.4,35,2028,1993
PROD00255,Sunscreen,Beauty & Personal Care,1282,Free Delivery,1025.6,40,1322,1282
PROD00256,Floor Cleaner,Household Essentials,494,Free Delivery,395.2,30,524,494
PROD00257,Air Freshener,Household Essentials,976,Free Delivery,780.8,45,1021,976
PROD00258,Instant Noodles,Groceries & Kitchen Essentials,977,"Free Delivery, 20% on product",781.6,47,1024,1024
PROD00259,Lip Balm,Beauty & Personal Care,1043,Free Delivery,834.4,31,1074,1043
PROD00260,LED Light Bulb,Electronics,1167,Free Delivery,933.6,44,1211,1167
PROD00261,Pulses,Groceries & Kitchen Essentials,357,"Free Delivery, 20% on product",285.6,31,388,388
PROD00262,Hair Oil,Beauty & Personal Care,1258,Free Delivery,1006.4,42,1300,1258
PROD00263,Memory Card,Electronics,977,Free Delivery,781.6,46,1023,977
PROD00264,Power Bank,Electronics,731,Free Delivery,584.8,30,761,731
PROD00265,Pulses,Groceries & Kitchen Essentials,1744,"Free Delivery, 20% on product",1395.2,33,1777,1777
PROD00266,Pulses,Groceries & Kitchen Essentials,1128,"Free Delivery, 20% on product",902.4,45,1173,1173
PROD00267,Coffee,Groceries & Kitchen Essentials,958,"Free Delivery, 20% on product",766.4,30,988,988
PROD00268,Cake Mix,Recipe Ideas,321,Free Delivery,256.8,49,370,321
PROD00269,Body Lotion,Beauty & Personal Care,1780,Free Delivery,1424,44,1824,1780
PROD00270,Bluetooth Speaker,Electronics,1690,Free Delivery,1352,50,1740,1690
PROD00271,Potato Chips,Snacks & Drinks,1579,Free Delivery,1263.2,32,1611,1579
PROD00272,Laundry Detergent,Household Essentials,500,Free Delivery,400,35,535,500
PROD00273,Floor Cleaner,Household Essentials,341,Free Delivery,272.8,36,377,341
PROD00274,Tissue Paper,Household Essentials,1044,Free Delivery,835.2,46,1090,1044
PROD00275,Packaged Snacks,Snacks & Drinks,1596,Free Delivery,1276.8,44,1640,1596
PROD00276,Floor Cleaner,Household Essentials,760,Free Delivery,608,40,800,760
PROD00277,Cereal Bars,Snacks & Drinks,627,Free Delivery,501.6,48,675,627
PROD00278,Wireless Earphones,Electronics,990,Free Delivery,792,33,1023,990
PROD00279,Spices,Groceries & Kitchen Essentials,600,"Free Delivery, 20% on product",480,38,638,638
PROD00280,Smartwatch,Electronics,1093,Free Delivery,874.4,30,1123,1093
PROD00281,Lip Balm,Beauty & Personal Care,723,Free Delivery,578.4,40,763,723
PROD00282,Air Freshener,Household Essentials,852,Free Delivery,681.6,31,883,852
PROD00283,Dishwashing Liquid,Household Essentials,1682,Free Delivery,1345.6,46,1728,1682
PROD00284,Power Bank,Electronics,1915,Free Delivery,1532,38,1953,1915
PROD00285,Air Freshener,Household Essentials,201,Free Delivery,160.8,38,239,201
PROD00286,Coffee,Groceries & Kitchen Essentials,1084,"Free Delivery, 20% on product",867.2,42,1126,1126
PROD00287,Face Cream,Beauty & Personal Care,392,Free Delivery,313.6,46,438,392
PROD00288,Memory Card,Electronics,779,Free Delivery,623.2,43,822,779
PROD00289,Vanilla Extract,Recipe Ideas,1770,Free Delivery,1416,36,1806,1770
PROD00290,Basmati Rice,Groceries & Kitchen Essentials,1106,"Free Delivery, 20% on product",884.8,30,1136,1136
PROD00291,Deodorant,Beauty & Personal Care,282,Free Delivery,225.6,30,312,282
PROD00292,Glass Cleaner,Household Essentials,1666,Free Delivery,1332.8,50,1716,1666
PROD00293,Yeast,Recipe Ideas,1648,Free Delivery,1318.4,41,1689,1648
PROD00294,Air Freshener,Household Essentials,693,Free Delivery,554.4,38,731,693
PROD00295,Dishwashing Liquid,Household Essentials,1609,Free Delivery,1287.2,39,1648,1609
PROD00296,Fruit Juice,Snacks & Drinks,750,Free Delivery,600,33,783,750
PROD00297,Instant Noodles,Groceries & Kitchen Essentials,619,"Free Delivery, 20% on product",495.2,41,660,660
PROD00298,Memory Card,Electronics,1972,Free Delivery,1577.6,43,2015,1972
PROD00299,Portable Hard Drive,Electronics,706,Free Delivery,564.8,35,741,706
PROD00300,Smart Plug,Electronics,1422,Free Delivery,1137.6,36,1458,1422
PROD00301,Phone Charger,Electronics,829,Free Delivery,663.2,44,873,829
PROD00302,Memory Card,Electronics,268,Free Delivery,214.4,49,317,268
PROD00303,Trail Mix,Snacks & Drinks,183,Free Delivery,146.4,49,232,183
PROD00304,Glass Cleaner,Household Essentials,1093,Free Delivery,874.4,37,1130,1093
PROD00305,Body Lotion,Beauty & Personal Care,575,Free Delivery,460,30,605,575
PROD00306,Wheat Flour,Groceries & Kitchen Essentials,89,20% on product,71.2,40,129,129
PROD00307,Fruit Juice,Snacks & Drinks,1506,Free Delivery,1204.8,49,1555,1506
PROD00308,Garbage Bags,Household Essentials,658,Free Delivery,526.4,47,705,658
PROD00309,Popcorn,Snacks & Drinks,823,Free Delivery,658.4,39,862,823
PROD00310,Bread Crumbs,Recipe Ideas,191,Free Delivery,152.8,30,221,191
PROD00311,Smart Plug,Electronics,1765,Free Delivery,1412,35,1800,1765
PROD00312,Wireless Earphones,Electronics,939,Free Delivery,751.2,45,984,939
PROD00313,Instant Noodles,Groceries & Kitchen Essentials,424,"Free Delivery, 20% on product",339.2,48,472,472
PROD00314,Glass Cleaner,Household Essentials,281,Free Delivery,224.8,33,314,281
PROD00315,Soft Drink,Snacks & Drinks,1042,Free Delivery,833.6,30,1072,1042
